Muestras;Original;           FFT;       Suavizada;       IFFT(FFT)
57;0.0029285710000000;-0.6560200522820762 +(-1.4799330091567691i);0.0009066370051172;0.0029285710000000
58;0.0014059520000000;0.1108582190347708 +(0.3714781597106720i);0.0009154398063415;0.0014059520000000
59;-0.0001166670000000;-0.6856934420519152 +(-0.1499137773275220i);0.0009244549633368;-0.0001166670000000
60;-0.0018537880000000;1.1448518178164369 +(0.9266643558521432i);0.0009336822138981;-0.0018537880000000
61;-0.0035909090000000;-0.6592236694555644 +(-0.9111615198350656i);0.0009431212705628;-0.0035909090000000
62;-0.0048863640000000;-0.5334377739195938 +(0.3642083937658796i);0.0009527718206473;-0.0048863640000000
63;-0.0062857140000000;-1.0271475895264375 +(0.5064652981571580i);0.0009626335262868;-0.0062857140000000
64;-0.0077166670000000;0.5952998691790172 +(-0.3278106526047695i);0.0009727060244781;-0.0077166670000000
65;-0.0090333330000000;-0.7808783981675451 +(-0.7022069646726937i);0.0009829889271256;-0.0090333330000000
66;-0.0100714290000000;0.3408291237339082 +(-0.2400382000305754i);0.0009934818210904;-0.0100714290000000
67;-0.0109500000000000;-0.5742071387599048 +(0.7193504607627718i);0.0010041842682427;-0.0109500000000000
68;-0.0115909090000000;0.6563567410761176 +(-0.1391751104889439i);0.0010150958055170;-0.0115909090000000
69;-0.0121071430000000;-0.9274995843454954 +(0.0247464048304093i);0.0010262159449707;-0.0121071430000000
70;-0.0124166670000000;-0.3046791602963262 +(0.3107244579630301i);0.0010375441738455;-0.0124166670000000
71;-0.0126428570000000;-0.5156322328123209 +(0.6894842346169756i);0.0010490799546320;-0.0126428570000000
72;-0.0127500000000000;-0.6839298061732870 +(-0.4794480755567462i);0.0010608227251375;-0.0127500000000000
73;-0.0127678570000000;-1.2055922075084888 +(0.1042100207088851i);0.0010727718985566;-0.0127678570000000
74;-0.0127500000000000;0.0908082344698259 +(0.1515805084186984i);0.0010849268635448;-0.0127500000000000
75;-0.0128166670000000;0.7215782452027093 +(-0.2824610287224476i);0.0010972869842957;-0.0128166670000000
76;-0.0126607140000000;0.9908699364072340 +(5.9459117680101832i);0.0011098516006203;-0.0126607140000000
77;-0.0125333330000000;-0.4608863448119096 +(-1.3443866420684949i);0.0011226200280301;-0.0125333330000000
78;-0.0124000000000000;0.4548701252502307 +(-0.7410787441876693i);0.0011355915578227;-0.0124000000000000
79;-0.0122666670000000;1.2028996063924842 +(-0.1942579320753459i);0.0011487654571706;-0.0122666670000000
80;-0.0121818180000000;0.9178380200363410 +(-0.6548479762308203i);0.0011621409692127;-0.0121818180000000
81;-0.0119500000000000;0.3709462520499416 +(0.0140819354829840i);0.0011757173131492;-0.0119500000000000
82;-0.0117500000000000;0.1818596167829941 +(0.0641013231850502i);0.0011894936843390;-0.0117500000000000
83;-0.0115166670000000;0.1209517326558566 +(-0.2008553808144314i);0.0012034692544001;-0.0115166670000000
84;-0.0112333330000000;-0.2212680337572576 +(-0.2158006700884280i);0.0012176431713129;-0.0112333330000000
85;-0.0109807690000000;0.1505056570189220 +(-0.2285541029995321i);0.0012320145595265;-0.0109807690000000
86;-0.0107291670000000;-0.1428484048343862 +(-0.2820146272394911i);0.0012465825200680;-0.0107291670000000
87;-0.0103928570000000;0.2245419467136703 +(-0.1973459287232267i);0.0012613461306540;-0.0103928570000000
88;-0.0099833330000000;-0.0279563033609649 +(-0.1600822764597646i);0.0012763044458053;-0.0099833330000000
89;-0.0096333330000000;0.2313125786927385 +(0.0501679560293888i);0.0012914564969649;-0.0096333330000000
90;-0.0092678570000000;0.0180005515316412 +(-0.1542048256429965i);0.0013068012926182;-0.0092678570000000
91;-0.0088166670000000;-0.0521708830919994 +(-0.0285632448299483i);0.0013223378184156;-0.0088166670000000
92;-0.0084090910000000;0.0276719519230351 +(-0.1779563984918887i);0.0013380650372989;-0.0084090910000000
93;-0.0080833330000000;0.0445452550345857 +(0.0731897614020940i);0.0013539818896298;-0.0080833330000000
94;-0.0076785710000000;-0.2636492721973917 +(-0.1495052436861737i);0.0013700872933209;-0.0076785710000000
95;-0.0072000000000000;0.1750350564227033 +(-0.1479515416597513i);0.0013863801439699;-0.0072000000000000
96;-0.0068166670000000;0.0761515820346041 +(-0.2070427298031561i);0.0014028593149963;-0.0068166670000000
97;-0.0064464290000000;0.0150323175147304 +(0.0671816033968884i);0.0014195236577805;-0.0064464290000000
98;-0.0060208330000000;0.0299343512667874 +(0.0664562328095856i);0.0014363720018059;-0.0060208330000000
99;-0.0056833330000000;0.2376961073473249 +(-0.0258431318504150i);0.0014534031548033;-0.0056833330000000
100;-0.0054285710000000;-0.0526932823954287 +(-0.1259870649940577i);0.0014706159028981;-0.0054285710000000
101;-0.0050178570000000;-0.0243213165380473 +(-0.2255163867124372i);0.0014880090107602;-0.0050178570000000
102;-0.0047000000000000;-0.1094499160466921 +(0.0177500359191840i);0.0015055812217557;-0.0047000000000000
103;-0.0044333330000000;0.2891383040008259 +(-0.1911753569871672i);0.0015233312581021;-0.0044333330000000
104;-0.0041500000000000;-0.0849445752949742 +(-0.1468238231325499i);0.0015412578210256;-0.0041500000000000
105;-0.0039545450000000;-0.0109423067190150 +(-0.1520083883005935i);0.0015593595909204;-0.0039545450000000
106;-0.0037500000000000;-0.0509770806064061 +(0.0835294966222519i);0.0015776352275112;-0.0037500000000000
107;-0.0035357140000000;0.2080135678072421 +(0.0534061950710888i);0.0015960833700179;-0.0035357140000000
108;-0.0033833330000000;-0.0747035465501763 +(-0.0975242601233479i);0.0016147026373221;-0.0033833330000000
109;-0.0032666670000000;-0.0180619603804955 +(0.0770213667592504i);0.0016334916281372;-0.0032666670000000
110;-0.0032142860000000;0.1225649817496348 +(0.0200887129398661i);0.0016524489211795;-0.0032142860000000
111;-0.0032500000000000;0.2682615834219182 +(-0.4070964642702778i);0.0016715730753428;-0.0032500000000000
112;-0.0032500000000000;0.4241092595945019 +(-0.4113250996679871i);0.0016908626298742;-0.0032500000000000
113;-0.0032500000000000;1.5887112635242877 +(-0.5289188915651018i);0.0017103161045533;-0.0032500000000000
114;-0.0033214290000000;-2.4109638936731548 +(-0.1171040846875589i);0.0017299319998730;-0.0033214290000000
115;-0.0033571430000000;-0.1894614982102911 +(-0.6637300709801502i);0.0017497087972223;-0.0033571430000000
116;-0.0033500000000000;-0.1968592142372355 +(-0.1157430621424632i);0.0017696449590721;-0.0033500000000000
117;-0.0033181820000000;0.1099104198292638 +(0.0997875975129225i);0.0017897389291622;-0.0033181820000000
118;-0.0032833330000000;0.0563648379798154 +(0.1982131000324368i);0.0018099891326918;-0.0032833330000000
119;-0.0032321430000000;-0.1780133910535333 +(0.0583294487766614i);0.0018303939765102;-0.0032321430000000
120;-0.0031071430000000;-0.2795455804058500 +(0.0058055328090273i);0.0018509518493118;-0.0031071430000000
121;-0.0029833330000000;-0.2347773593395730 +(-0.0604128616912347i);0.0018716611218311;-0.0029833330000000
122;-0.0029285710000000;0.0512201562525953 +(-0.0925758351085890i);0.0018925201470413;-0.0029285710000000
123;-0.0027500000000000;-0.0815647103348559 +(-0.0296671860191217i);0.0019135272603543;-0.0027500000000000
124;-0.0028000000000000;0.1681400376444724 +(-0.0077426703158912i);0.0019346807798223;-0.0028000000000000
125;-0.0027321430000000;-0.1566340557892114 +(-0.0165870072055864i);0.0019559790063421;-0.0027321430000000
126;-0.0027954550000000;-0.0395446910578903 +(0.0369909629254519i);0.0019774202238608;-0.0027954550000000
127;-0.0027727270000000;-0.0813470325679847 +(-0.0108123078987572i);0.0019990026995838;-0.0027727270000000
128;-0.0027500000000000;-0.0153053329338021 +(-0.0253500457728712i);0.0020207246841842;-0.0027500000000000
129;-0.0028863640000000;-0.1646481623120999 +(-0.0744696419340737i);0.0020425844120145;-0.0028863640000000
130;-0.0029666670000000;0.0235974093017307 +(-0.0478937923569670i);0.0020645801013197;-0.0029666670000000
131;-0.0030000000000000;-0.0952529869921478 +(0.0271740423106076i);0.0020867099544527;-0.0030000000000000
132;-0.0029000000000000;0.0174806118420905 +(-0.1242052445845158i);0.0021089721580907;-0.0029000000000000
133;-0.0026964290000000;-0.1272397135657848 +(0.1163840225412156i);0.0021313648834543;-0.0026964290000000
134;-0.0024666670000000;0.0861883358102462 +(-0.0236742182028623i);0.0021538862865273;-0.0024666670000000
135;-0.0021818180000000;0.0388374778618852 +(-0.0280177836527324i);0.0021765345082789;-0.0021818180000000
136;-0.0017166670000000;-0.1820605094580987 +(-0.1152344481951290i);0.0021993076748870;-0.0017166670000000
